Domain name,Domain type,Agency,City,State,Local municipality,Country,ORGNR,Sektorkode
04726.no,Local or regional government,Gran Kommune,Jaren,Oppland,Gran,Norway,961381541,6500 - Kommuneforvaltningen
0534.no,Local or regional government,Gran Kommune,Jaren,Oppland,Gran,Norway,961381541,6500 - Kommuneforvaltningen
0728.no,Local or regional government,Lardal Kommune,Svarstad,Vestfold,Lardal,Norway,964952434,6500 - Kommuneforvaltningen
0gran.no,Local or regional government,Gran Kommune,Jaren,Oppland,Gran,Norway,961381541,6500 - Kommuneforvaltningen
100prosentrisor.no,Local or regional government,Risør Kommune,Risør,Aust-Agder,Risør,Norway,964977402,6500 - Kommuneforvaltningen
10-13.no,Local or regional government,"Høybråten, Fossum og Stovner Sokn",Oslo,Oslo,Oslo,Norway,911852934,6500 - Kommuneforvaltningen
110agder.no,Local or regional government,Arendal Kommune,Grimstad,Aust-Agder,Arendal,Norway,940493021,6500 - Kommuneforvaltningen
110-finnmark.no,Local or regional government,Hammerfest Kommune,Hammerfest,Finnmark,Hammerfest,Norway,964830533,6500 - Kommuneforvaltningen
110-gjovik.no,Local or regional government,Gjøvik Kommune,Gjøvik,Oppland,Gjøvik,Norway,940155223,6500 - Kommuneforvaltningen
110-namsos.no,Local or regional government,Namsos Kommune,Namsos,Nord-Trøndelag,Namsos,Norway,942875967,6500 - Kommuneforvaltningen
110-narvik.no,Local or regional government,Ofoten Interkommunale Brann og Redningsvesen Iks,Narvik,Nordland,Narvik,Norway,993194964,6500 - Kommuneforvaltningen
110-saltenbrann.no,Local or regional government,Salten Brann Iks,Bodø,Nordland,Bodø,Norway,990565325,6500 - Kommuneforvaltningen
110telemark.no,Local or regional government,Skien Kommune,Skien,Telemark,Skien,Norway,938759839,6500 - Kommuneforvaltningen
110-troms.no,Local or regional government,Tromsø Kommune,Tromsø,Troms,Tromsø,Norway,940101808,6500 - Kommuneforvaltningen
110-trondelag.no,Local or regional government,Trøndelag Brann- og Redningstjeneste Iks,Trondheim,Sør-Trøndelag,Trondheim,Norway,992047364,6500 - Kommuneforvaltningen
11rumselev.no,Local or regional government,Elverum Kommune,Elverum,Hedmark,Elverum,Norway,952857991,6500 - Kommuneforvaltningen
12k.no,Local or regional government,Re Kommune,Revetal,Vestfold,Re,Norway,983885497,6500 - Kommuneforvaltningen
12-k.no,Local or regional government,Re Kommune,Revetal,Vestfold,Re,Norway,983885497,6500 - Kommuneforvaltningen
12ktrainee.no,Local or regional government,Re Kommune,Revetal,Vestfold,Re,Norway,983885497,6500 - Kommuneforvaltningen
13-20.no,Local or regional government,Bærum Kirkelige Fellesråd,Sandvika,Akershus,Bærum,Norway,976986423,6500 - Kommuneforvaltningen
1414.no,Local or regional government,Nordre Land Kommune,Dokka,Oppland,Nordre Land,Norway,861381722,6500 - Kommuneforvaltningen
1422.no,Local or regional government,Lærdal Kommune,Lærdal,Sogn og Fjordane,Lærdal,Norway,954681890,6500 - Kommuneforvaltningen
1601.no,Local or regional government,Trondheim Kommune Kultur og Næring,Trondheim,Sør-Trøndelag,Trondheim,Norway,970088644,6500 - Kommuneforvaltningen
177hordaland.no,Local or regional government,Skyss,Bergen,Hordaland,Bergen,Norway,992051825,6500 - Kommuneforvaltningen
177troms.no,Local or regional government,Troms Fylkeskommune,Tromsø,Troms,Tromsø,Norway,864870732,6500 - Kommuneforvaltningen
1804.no,Local or regional government,Bodø Kommune,Bodø,Nordland,Bodø,Norway,972418013,6500 - Kommuneforvaltningen
1bo.no,Local or regional government,Kristiansand Kommune,Kristiansand S,Vest-Agder,Kristiansand,Norway,963296746,6500 - Kommuneforvaltningen
20-12-2020.no,Local or regional government,Forsand Kommune,Forsand,Rogaland,Forsand,Norway,939347801,6500 - Kommuneforvaltningen
2030stiklestad.no,Local or regional government,Stiklestad Nasjonale Kultursenter AS,Verdal,Nord-Trøndelag,Verdal,Norway,956298660,6500 - Kommuneforvaltningen
2av3.no,Local or regional government,Oslo Kommune Brann- og Redningsetaten,Oslo,Oslo,Oslo,Norway,876820102,6500 - Kommuneforvaltningen
2ikt.no,Local or regional government,Vest-Agder Fylkeskommune Utdanningsavdelingen,Kristiansand S,Vest-Agder,Kristiansand,Norway,874778532,6500 - Kommuneforvaltningen
2isa.no,Local or regional government,Telemark Fylkeskommune,Skien,Telemark,Skien,Norway,940192226,6500 - Kommuneforvaltningen
2xh.no,Local or regional government,Trondheim Kommune Kultur og Næring,Trondheim,Sør-Trøndelag,Trondheim,Norway,970088644,6500 - Kommuneforvaltningen
31skoler.no,Local or regional government,Rogaland Fylkeskommune Opplæringsavdelingen,Stavanger,Rogaland,Stavanger,Norway,974778483,6500 - Kommuneforvaltningen
360alesund.no,Local or regional government,Ålesundregionens Havnevesen,Ålesund,Møre og Romsdal,Ålesund,Norway,987673524,6500 - Kommuneforvaltningen
365.fredrikstad.no,Local or regional government,Fredrikstad Kommune,Fredrikstad,Østfold,Fredrikstad,Norway,940039541,6500 - Kommuneforvaltningen
3mil.no,Local or regional government,Nesodden Kommune,Nesoddtangen,Akershus,Nesodden,Norway,944383565,6500 - Kommuneforvaltningen
6440.no,Local or regional government,Fræna Kommune,Elnesvågen,Møre og Romsdal,Fræna,Norway,845241112,6500 - Kommuneforvaltningen
78999400.no,Local or regional government,Sør-Varanger Kommune,Kirkenes,Finnmark,Sør-Varanger,Norway,942110286,6500 - Kommuneforvaltningen
9900.no,Local or regional government,Sør-Varanger Kommune,Kirkenes,Finnmark,Sør-Varanger,Norway,942110286,6500 - Kommuneforvaltningen
abbv.no,Local or regional government,Asker og Bærum Brannvesen Iks,Asker,Akershus,Asker,Norway,980358380,6500 - Kommuneforvaltningen
abelloftet.no,Local or regional government,Oslo Kommune Bydel 8 Nordre Aker,Oslo,Oslo,Oslo,Norway,974778882,6500 - Kommuneforvaltningen
abildsobarnehage.no,Local or regional government,Oslo Kommune Bydel 13 Østensjø,Oslo,Oslo,Oslo,Norway,974778807,6500 - Kommuneforvaltningen
abmtoten.no,Local or regional government,Vestre Toten Kommune,Raufoss,Oppland,Vestre Toten,Norway,971028300,6500 - Kommuneforvaltningen
abulkasem.no,Local or regional government,As Regionteatret I Møre og Romsdal,Molde,Møre og Romsdal,Molde,Norway,930569046,6500 - Kommuneforvaltningen
abvann.no,Local or regional government,Asker og Bærum Vannverk Iks,Lommedalen,Akershus,Bærum,Norway,974636972,6500 - Kommuneforvaltningen
adm-ivest.no,Local or regional government,Hordaland Fylkeskommune,Bergen,Hordaland,Bergen,Norway,938626367,6500 - Kommuneforvaltningen
adonde.no,Local or regional government,Midtre Namdal Samkommune,Namsos,Nord-Trøndelag,Namsos,Norway,995012766,6500 - Kommuneforvaltningen
adventsfestivalen.no,Local or regional government,Drammen Kirkelig Fellesråd,Drammen,Buskerud,Drammen,Norway,976989732,6500 - Kommuneforvaltningen
aekf.no,Local or regional government,Arendal Eiendom Kf,Arendal,Aust-Agder,Arendal,Norway,895479322,6500 - Kommuneforvaltningen
afjordlegekontor.no,Local or regional government,Åfjord Kommune,Åfjord,Sør-Trøndelag,Åfjord,Norway,964982864,6500 - Kommuneforvaltningen
afjordutvikling.no,Local or regional government,Åfjord Kommune,Åfjord,Sør-Trøndelag,Åfjord,Norway,964982864,6500 - Kommuneforvaltningen
afk.no,Local or regional government,Akershus Fylkeskommune,Oslo,Oslo,Oslo,Norway,958381492,6500 - Kommuneforvaltningen
afk-it.no,Local or regional government,Akershus Fylkeskommune,Oslo,Oslo,Oslo,Norway,958381492,6500 - Kommuneforvaltningen
agder-fk.no,Local or regional government,Vest-Agder Fylkeskommune Utdanningsavdelingen,Kristiansand S,Vest-Agder,Kristiansand,Norway,874778532,6500 - Kommuneforvaltningen
agderforalle.no,Local or regional government,Vest-Agder Fylkeskommune,Kristiansand S,Vest-Agder,Kristiansand,Norway,960895827,6500 - Kommuneforvaltningen
agderfylkeskommune.no,Local or regional government,Vest-Agder Fylkeskommune Utdanningsavdelingen,Kristiansand S,Vest-Agder,Kristiansand,Norway,874778532,6500 - Kommuneforvaltningen
agder-ikt.no,Local or regional government,Agder Ikt Driftssenter Iks,Arendal,Aust-Agder,Arendal,Norway,985359385,6500 - Kommuneforvaltningen
agderkirken.no,Local or regional government,Arendal Kirkelige Fellesråd,Grimstad,Aust-Agder,Arendal,Norway,976992148,6500 - Kommuneforvaltningen
agderliving.no,Local or regional government,Aust-Agder Fylkeskommune,Arendal,Aust-Agder,Arendal,Norway,943039046,6500 - Kommuneforvaltningen
agderrenovasjon.no,Local or regional government,Agder Renovasjon Iks,Arendal,Aust-Agder,Arendal,Norway,997765494,6500 - Kommuneforvaltningen
