Domain,Type,Agency,City,State,Local municipality,Country,ORGNR,Sektorkode
aa-f.kommune.no,Local or regional government,,,,,,,
aal.kommune.no,Local or regional government,,,,,,,
aamli.kommune.no,Local or regional government,,,,,,,
afjord.kommune.no,Local or regional government,,,,,,,
agdenes.kommune.no,Local or regional government,,,,,,,
akershus-f.kommune.no,Local or regional government,,,,,,,
alesund.kommune.no,Local or regional government,,,,,,,
alstahaug.kommune.no,Local or regional government,,,,,,,
alta.kommune.no,Local or regional government,,,,,,,
alvdal.kommune.no,Local or regional government,,,,,,,
amli.kommune.no,Local or regional government,,,,,,,
amot.kommune.no,Local or regional government,,,,,,,
andebu.kommune.no,Local or regional government,,,,,,,
andoy.kommune.no,Local or regional government,,,,,,,
ardal.kommune.no,Local or regional government,,,,,,,
aremark.kommune.no,Local or regional government,,,,,,,
arendal.kommune.no,Local or regional government,,,,,,,
as.kommune.no,Local or regional government,,,,,,,
aseral.kommune.no,Local or regional government,,,,,,,
asker.kommune.no,Local or regional government,,,,,,,
askim.kommune.no,Local or regional government,,,,,,,
askoy.kommune.no,Local or regional government,,,,,,,
askvoll.kommune.no,Local or regional government,,,,,,,
asnes.kommune.no,Local or regional government,,,,,,,
audnedal.kommune.no,Local or regional government,,,,,,,
aukra.kommune.no,Local or regional government,,,,,,,
aure.kommune.no,Local or regional government,,,,,,,
auretustna.kommune.no,Local or regional government,,,,,,,
aurland.kommune.no,Local or regional government,,,,,,,
aurskog-holand.kommune.no,Local or regional government,,,,,,,
austevoll.kommune.no,Local or regional government,,,,,,,
austrheim.kommune.no,Local or regional government,,,,,,,
averoy.kommune.no,Local or regional government,,,,,,,
baerum.kommune.no,Local or regional government,,,,,,,
balestrand.kommune.no,Local or regional government,,,,,,,
ballangen.kommune.no,Local or regional government,,,,,,,
balsfjord.kommune.no,Local or regional government,,,,,,,
bamble.kommune.no,Local or regional government,,,,,,,
bardu.kommune.no,Local or regional government,,,,,,,
barum.kommune.no,Local or regional government,,,,,,,
batsfjord.kommune.no,Local or regional government,,,,,,,
beiarn.kommune.no,Local or regional government,,,,,,,
berg.kommune.no,Local or regional government,,,,,,,
bergen.kommune.no,Local or regional government,,,,,,,
berlevag.kommune.no,Local or regional government,,,,,,,
bindal.kommune.no,Local or regional government,,,,,,,
birkenes.kommune.no,Local or regional government,,,,,,,
