ORGNR,DOMAIN NAME,DNSSEC
8.11167452E8,teaterspillet.no,Usignert
8.11167452E8,dns.no,Usignert
8.11167452E8,dns-teater.no,Usignert
8.11167452E8,dnsteater.no,Usignert
8.11167452E8,dnstv.no,Usignert
8.11167452E8,dns-tv.no,Usignert
8.11167452E8,dnscene.no,Usignert
8.11167452E8,dennationalescene.no,Usignert
8.11167452E8,dennasjonalescene.no,Usignert
8.11167452E8,den-nationale-scene.no,Usignert
8.11854212E8,katedralparken.no,Signert
8.22534422E8,sandefrivillig.no,Usignert
8.22534422E8,sjustjerna.no,Usignert
8.34210622E8,bomlovaksenopplaring.no,Signert
8.34210622E8,bomlokulturskule.no,Signert
8.34210622E8,bomlokulturskole.no,Signert
8.34210622E8,xn--bmlofolkebibliotek-g4b.no,Signert
8.34210622E8,bremneslegesenter.no,Signert
8.34210622E8,bomlonaringshage.no,Signert
8.34210622E8,maritimepitstop.no,Signert
8.34210622E8,www.bomlo.no,Signert
8.34210622E8,skuleportalen.no,Signert
8.34210622E8,bomloskulen.no,Signert
8.34210622E8,bomloskolen.no,Signert
8.34210622E8,bomlo.folkebibl.no,Usignert
8.34210622E8,bomlobibliotek.no,Signert
8.34210622E8,xn--bmlagrindo-0cb.no,Usignert
8.34210622E8,xn--bmloskulen-0cb.no,Signert
8.34210622E8,xn--bmloskolen-0cb.no,Signert
8.35095762E8,www.hornindal.no,Usignert
8.35095762E8,nordfjordnett.no,Usignert
8.38500382E8,frivillighetogforebygging.no,Signert
8.38500382E8,sambuh.no,Signert
8.38500382E8,kommersoya.no,Usignert
8.38500382E8,www.holmestrand.no,Usignert
8.38500382E8,voksenopplaeringen-holmestrand.no,Usignert
8.38500382E8,knutseskogen-barnehage.no,Usignert
8.38500382E8,kleiverud-skole.no,Usignert
8.38500382E8,kleiverud-barnehage.no,Usignert
8.38500382E8,hillestad-skole.no,Usignert
8.38500382E8,gullhaug-barnehage.no,Usignert
8.38500382E8,godaker-barnehage.no,Usignert
8.38500382E8,gjoklep-ungdomsskole.no,Usignert
8.38500382E8,gausetangen-skole.no,Usignert
8.38500382E8,gausetangen-barnehage.no,Usignert
8.38500382E8,ekeberg-skole.no,Usignert
8.38500382E8,botne-skole.no,Usignert
8.38500382E8,biorama.no,Usignert
8.39893132E8,midt-gudbrandsdal.no,Signert
8.39893132E8,skaabu-oppvekst.no,Signert
8.39893132E8,ungimidtdalen.no,Signert
8.39893132E8,ressurs.nord-fron.no,Signert
8.39893132E8,vinstrakino.no,Signert
8.39893132E8,wintid.nord-fron.no,Signert
8.39893132E8,fysak.nord-fron.no,Signert
8.39893132E8,politiker.nord-fron.no,Signert
8.39893132E8,www.nord-fron.no,Signert
8.39893132E8,vinstraungdomsklubb.no,Signert
8.39893132E8,mgd.no,Signert
8.39893132E8,xn--kjacamp-exa.no,Signert
8.39893132E8,fron-kulturskole.no,Signert
8.39953062E8,www.unjarga.no,Usignert
8.39953062E8,www.nesseby.no,Usignert
8.39953062E8,nby.no,Usignert
8.39953062E8,luondu.no,Signert
8.39953062E8,isaksaba.no,Usignert
8.39953062E8,girjebusse.no,Usignert
8.39953062E8,bibliotekbussen.no,Signert
8.40014932E8,www.lyngen.no,Usignert
8.40014932E8,lyngenskolen.no,Signert
8.40014932E8,lyngen-nf.no,Signert
8.40014932E8,lyngenlegekontor.no,Usignert
8.40029212E8,steinkjerlandbruk.no,Signert
8.40029212E8,inntro.no,Signert
8.40029212E8,inntroskolen.no,Signert
8.40029212E8,investskolen.no,Signert
8.40029212E8,xn--inn-trndelag-0jb.no,Signert
8.40029212E8,inn-trondelag.no,Signert
8.40029212E8,weidemannkunstsenter.no,Usignert
8.40029212E8,xn--ikt-inntrndelag-eub.no,Signert
8.40029212E8,ikt-inntrondelag.no,Signert
8.40029212E8,xn--grdbrukerenssikkerhetsnett-7hc.no,Signert
8.40029212E8,investregionen.no,Signert
8.40029212E8,xn--inntrndelag-kgb.no,Signert
8.40029212E8,inntroendelag.no,Signert
8.40029212E8,www.steinkjer.no,Usignert
