domain name,TTL,data,dnstype,nameserver
aa-f.kommune.no,14400.0,IN,NS,dns01.tdc.no
aa-f.kommune.no,14400.0,IN,NS,dns02.tdc.no
aal.kommune.no,14400.0,IN,NS,dns1.as2116.net
aal.kommune.no,14400.0,IN,NS,dns2.as2116.net
aal.kommune.no,14400.0,IN,NS,dns3.as2116.net
aamli.kommune.no,14400.0,IN,NS,dns01.tdc.no
aamli.kommune.no,14400.0,IN,NS,dns02.tdc.no
afjord.kommune.no,14400.0,IN,NS,ns1.vitnett.no
afjord.kommune.no,14400.0,IN,NS,ns2.vitnett.no
agdenes.kommune.no,14400.0,IN,NS,a4.nstld.com
agdenes.kommune.no,14400.0,IN,NS,f4.nstld.com
agdenes.kommune.no,14400.0,IN,NS,h4.nstld.com
agdenes.kommune.no,14400.0,IN,NS,j4.nstld.com
agdenes.kommune.no,14400.0,IN,NS,g4.nstld.com
akershus-f.kommune.no,14400.0,IN,NS,snipp.akershus-f.kommune.no
akershus-f.kommune.no,14400.0,IN,NS,snapp.akershus-f.kommune.no
alesund.kommune.no,14400.0,IN,NS,ns2.esunnmore.no
alesund.kommune.no,14400.0,IN,NS,ns1.esunnmore.no
alstahaug.kommune.no,14400.0,IN,NS,ns1.hyp.net
alstahaug.kommune.no,14400.0,IN,NS,ns3.hyp.net
alstahaug.kommune.no,14400.0,IN,NS,ns2.hyp.net
alta.kommune.no,14400.0,IN,NS,ns2.nextra.no
alta.kommune.no,14400.0,IN,NS,ns1.nextra.no
alvdal.kommune.no,14400.0,IN,NS,ns2.fastname.no
alvdal.kommune.no,14400.0,IN,NS,ns.fastname.no
amli.kommune.no,14400.0,IN,NS,dns01.tdc.no
amli.kommune.no,14400.0,IN,NS,dns02.tdc.no
amot.kommune.no,14400.0,IN,NS,dns2.as2116.net
amot.kommune.no,14400.0,IN,NS,dns1.as2116.net
amot.kommune.no,14400.0,IN,NS,dns3.as2116.net
andebu.kommune.no,14400.0,IN,NS,ns2.nextra.no
andebu.kommune.no,14400.0,IN,NS,ns1.nextra.no
andoy.kommune.no,14400.0,IN,NS,lin.dataguard.no
andoy.kommune.no,14400.0,IN,NS,eject.dataguard.no
andoy.kommune.no,14400.0,IN,NS,josva.dataguard.no
ardal.kommune.no,14400.0,IN,NS,ns.fastname.no
ardal.kommune.no,14400.0,IN,NS,ns2.fastname.no
aremark.kommune.no,14400.0,IN,NS,ns1.halden.net
aremark.kommune.no,14400.0,IN,NS,ns2.halden.net
arendal.kommune.no,14400.0,IN,NS,dns01.tdc.no
arendal.kommune.no,14400.0,IN,NS,dns02.tdc.no
as.kommune.no,14400.0,IN,NS,g4.nstld.com
as.kommune.no,14400.0,IN,NS,f4.nstld.com
as.kommune.no,14400.0,IN,NS,h4.nstld.com
as.kommune.no,14400.0,IN,NS,j4.nstld.com
as.kommune.no,14400.0,IN,NS,l4.nstld.com
as.kommune.no,14400.0,IN,NS,a4.nstld.com
as.kommune.no,14400.0,IN,NS,k4.nstld.com
aseral.kommune.no,14400.0,IN,NS,dns01.tdc.no
aseral.kommune.no,14400.0,IN,NS,dns02.tdc.no
asker.kommune.no,14400.0,IN,NS,a4.nstld.com
asker.kommune.no,14400.0,IN,NS,f4.nstld.com
asker.kommune.no,14400.0,IN,NS,dns2.mobinor.no
asker.kommune.no,14400.0,IN,NS,g4.nstld.com
asker.kommune.no,14400.0,IN,NS,h4.nstld.com
asker.kommune.no,14400.0,IN,NS,j4.nstld.com
asker.kommune.no,14400.0,IN,NS,l4.nstld.com
asker.kommune.no,14400.0,IN,NS,dns1.mobinor.no
asker.kommune.no,14400.0,IN,NS,nn.uninett.no
askim.kommune.no,14400.0,IN,NS,ns1.hyp.net
